Location,Date,Type,Longitude,Latitude
Mendocino County,06/02/2021,other,-123.2318687511018,39.45427208576537
Mendocino County,06/02/2021,other,-123.231904037246,39.45419907027856
Mendocino County,06/02/2021,other,-123.2319359282167,39.45423548831852
Mendocino County,06/02/2021,other,-123.2319706094875,39.45428163772303
Mendocino County,06/02/2021,other,-123.2320196942239,39.4542273609907
Mendocino County,06/02/2021,other,-123.2320505709641,39.45429407102601
Mendocino County,06/02/2021,other,-123.232101733524,39.45425364295589
Mendocino County,06/02/2021,other,-123.2321163753909,39.45432628707509
Mendocino County,06/02/2021,other,-123.2321727826224,39.45426770328363
Mendocino County,06/02/2021,other,-123.2305804859717,39.45347895709746
Mendocino County,06/02/2021,other,-123.2306227985484,39.45340770705626
Mendocino County,06/02/2021,other,-123.2306637530968,39.4534507990918
Mendocino County,06/02/2021,other,-123.2306765510546,39.45335578841912
Mendocino County,06/02/2021,other,-123.230719984566,39.45340535079382
Mendocino County,06/02/2021,other,-123.2307039898436,39.4534733938161
Mendocino County,06/02/2021,other,-123.2304358214865,39.45152679786415
Mendocino County,06/02/2021,other,-123.2360896794259,39.44962019187326
Mendocino County,06/02/2021,other,-123.236177160777,39.44965668023551
Mendocino County,06/02/2021,other,-123.2732069550779,39.45691648286349
Mendocino County,06/02/2021,other,-123.2730599601694,39.45683543247954
Mendocino County,06/02/2021,other,-123.3609448767003,39.41265259669944
Mendocino County,06/02/2021,other,-123.3612192387575,39.4126489185218
Mendocino County,06/02/2021,other,-123.3616412839372,39.41206781497771
Mendocino County,06/02/2021,other,-123.3614500291259,39.4120813583183
Mendocino County,06/02/2021,other,-123.3612178585158,39.41209494488906
Mendocino County,06/02/2021,other,-123.3609002683288,39.41209014947674
Mendocino County,06/02/2021,other,-123.3614965320311,39.41233364821883
Mendocino County,06/02/2021,other,-123.3613150138052,39.41234246359108
Mendocino County,06/02/2021,other,-123.3608861979347,39.41235463092426
Mendocino County,06/02/2021,other,-123.360578312282,39.41236778540549
Mendocino County,06/02/2021,other,-123.3614784173068,39.41175093697161
Mendocino County,06/02/2021,other,-123.3616698047681,39.41173296453021
Mendocino County,06/02/2021,other,-123.3620318518182,39.41222596367675
Mendocino County,06/02/2021,other,-123.3620075215166,39.41234669025472
Mendocino County,06/02/2021,other,-123.361973067862,39.41254122911356
Mendocino County,06/02/2021,other,-123.3619864522489,39.41264411225333
Mendocino County,06/02/2021,other,-123.3619835568906,39.41277405957569
Mendocino County,06/02/2021,other,-123.3602792760469,39.41278333757108
Mendocino County,06/02/2021,other,-123.3602734470982,39.41252193416414
Mendocino County,06/02/2021,other,-123.3602965020922,39.41271500754728
Mendocino County,06/02/2021,other,-123.3603083660307,39.41264488427985
Mendocino County,06/02/2021,other,-123.3617802371691,39.41286625502234
Mendocino County,06/02/2021,other,-123.3618175332961,39.41278677286535
Mendocino County,06/02/2021,other,-123.3617604018025,39.41273199496815
Mendocino County,06/02/2021,other,-123.3619718898307,39.41314029929958
Mendocino County,06/02/2021,other,-123.3620709160218,39.41312373391821
Mendocino County,06/02/2021,other,-123.3619405290918,39.41327261737314
Mendocino County,06/02/2021,other,-123.3583542449926,39.40304380785768
Mendocino County,06/02/2021,other,-123.3583698250826,39.40246356433986
Mendocino County,06/02/2021,other,-123.3581728318816,39.40274662880144
Mendocino County,06/02/2021,other,-123.3588499461508,39.40157310915131
Mendocino County,06/02/2021,other,-123.3589639563445,39.40156777947215
Mendocino County,06/02/2021,other,-123.3590750512387,39.40158289459209
Mendocino County,06/02/2021,other,-123.3591739416055,39.40152858870759
Mendocino County,06/02/2021,other,-123.3580673412023,39.40113738212846
Mendocino County,06/02/2021,other,-123.3579104623047,39.40104595984895
Mendocino County,06/02/2021,other,-123.4074873110148,39.42928430682372
Mendocino County,06/02/2021,other,-123.4074548365598,39.42906746937449
Mendocino County,06/02/2021,other,-123.4094462316842,39.42990428376171
Mendocino County,06/02/2021,other,-123.4074220217988,39.43401981970846
Mendocino County,06/02/2021,other,-123.2325256747723,39.45477031227443
Mendocino County,06/02/2021,other,-123.2325410493947,39.45449844627247
Mendocino County,06/02/2021,other,-123.2322351858658,39.45478065888479
Mendocino County,06/02/2021,other,-123.2320447785763,39.45462989821241
Mendocino County,06/02/2021,other,-123.2318997788274,39.45489939478496
Mendocino County,06/02/2021,other,-123.2332612495889,39.45409319459593
Mendocino County,06/02/2021,other,-123.2292987759763,39.45417863382055
Mendocino County,06/02/2021,other,-123.2299632479376,39.45502948814292
Mendocino County,06/02/2021,other,-123.2300017083867,39.45517634661748
Mendocino County,06/02/2021,other,-123.2299341646491,39.45538393021284
Mendocino County,06/02/2021,other,-123.2289133161667,39.45505544154229
Mendocino County,06/02/2021,other,-123.2300062578605,39.45479778224696
Mendocino County,06/02/2021,other,-123.2301827114437,39.45454184042282
Mendocino County,06/02/2021,other,-123.2298641485956,39.45570705771487
Mendocino County,06/02/2021,other,-123.2285333185794,39.45374908282795
Mendocino County,06/02/2021,other,-123.2285837213833,39.45362466032332
Mendocino County,06/02/2021,other,-123.2286801658018,39.45322539693222
Mendocino County,06/02/2021,other,-123.2270821883538,39.4563916000313
Mendocino County,06/02/2021,other,-123.227143024092,39.45619600740581
Mendocino County,06/02/2021,other,-123.2272437445421,39.45635347123756
Mendocino County,06/02/2021,other,-123.2273228618219,39.4573773855718
Mendocino County,06/02/2021,other,-123.2274559197943,39.4572894778867
Mendocino County,06/02/2021,other,-123.2274067420862,39.45744443574878
Mendocino County,06/02/2021,other,-123.2275519704876,39.4573545005215
Mendocino County,06/02/2021,other,-123.2275548191306,39.45743593409855
Mendocino County,06/02/2021,other,-123.2279185198309,39.45753992030892
Mendocino County,06/02/2021,other,-123.2279866872567,39.45751158939353
Mendocino County,06/02/2021,other,-123.2280992229306,39.45730543106396
Mendocino County,06/02/2021,other,-123.2279705330433,39.45715790954496
Mendocino County,06/02/2021,other,-123.2281776077752,39.45715242114141
Mendocino County,06/02/2021,other,-123.2253546411234,39.45639990803928
Mendocino County,06/02/2021,other,-123.2253550846748,39.45635124168957
Mendocino County,06/02/2021,other,-123.2253824129134,39.45637790632653
Mendocino County,06/02/2021,other,-123.2288417373725,39.45699406106966
Mendocino County,06/02/2021,other,-123.2289156163501,39.45688053229718
Mendocino County,06/02/2021,other,-123.2289792496676,39.45711430867744
Mendocino County,06/02/2021,other,-123.2290501843256,39.45684588539321
Mendocino County,06/02/2021,other,-123.2291326874172,39.45687918996722
Mendocino County,06/02/2021,other,-123.2291474028322,39.45693649754238
Mendocino County,06/02/2021,other,-123.2281151115683,39.45759423829178
Mendocino County,06/02/2021,other,-123.2273354641169,39.45577999537439
Mendocino County,06/02/2021,other,-123.2274456776712,39.45569148300947
Mendocino County,06/02/2021,other,-123.2275800380974,39.45561333328298
Mendocino County,06/02/2021,other,-123.2264700944962,39.45582863169519
Mendocino County,06/02/2021,other,-123.2253658358124,39.4567391816021
Mendocino County,06/02/2021,other,-123.2251228975686,39.45675920804763
Mendocino County,06/02/2021,other,-123.2247640023921,39.45640112685925
Mendocino County,06/02/2021,other,-123.2222636820317,39.45772798499783
