Location,Date,Type,Longitude,Latitude
Watsonville,09/26/2020,hoop,-121.6848121259888,36.90911555578369
Watsonville,09/26/2020,hoop,-121.6847214341738,36.90874428577914
Watsonville,09/26/2020,hoop,-121.6841689772382,36.90847246265866
Watsonville,09/26/2020,hoop,-121.6837530587442,36.90882111017665
Watsonville,09/26/2020,hoop,-121.6831157183469,36.9083891721054
Watsonville,09/26/2020,hoop,-121.6823334973258,36.90865801791423
Watsonville,09/26/2020,hoop,-121.682135337515,36.90821391669847
Watsonville,09/26/2020,hoop,-121.6812570322102,36.90834951090145
Watsonville,09/26/2020,hoop,-121.6808456291834,36.90794985975506
Watsonville,09/26/2020,hoop,-121.680218068354,36.90825740002147
Watsonville,09/26/2020,hoop,-121.6859096268573,36.90834606085164
Watsonville,09/26/2020,hoop,-121.6853653750241,36.9080557918034
Watsonville,09/26/2020,hoop,-121.6846161292546,36.90795099898562
Watsonville,09/26/2020,hoop,-121.6838975560884,36.90783867740203
Watsonville,09/26/2020,hoop,-121.6831663419484,36.90798214796605
Watsonville,09/26/2020,hoop,-121.6821088133466,36.9078294876319
Watsonville,09/26/2020,hoop,-121.6823874693381,36.90745917245744
Watsonville,09/26/2020,hoop,-121.6927917263604,36.91006524577819
Watsonville,09/26/2020,hoop,-121.6920543309085,36.91022963964097
Watsonville,09/26/2020,hoop,-121.6918947325793,36.90971247640961
Watsonville,09/26/2020,hoop,-121.690841286034,36.90946785158501
Watsonville,09/26/2020,hoop,-121.6908890322904,36.91038366316415
Watsonville,09/26/2020,hoop,-121.6896689766053,36.90939970925053
Watsonville,09/26/2020,hoop,-121.6896401449104,36.91093667873037
Watsonville,09/26/2020,hoop,-121.6893162988847,36.91016738562124
Watsonville,09/26/2020,hoop,-121.6877875318848,36.91025777448044
Watsonville,09/26/2020,hoop,-121.6886608107902,36.91088328566987
Watsonville,09/26/2020,hoop,-121.6888732242789,36.90963063993248
Watsonville,09/26/2020,hoop,-121.688898474277,36.90923891168956
Watsonville,09/26/2020,hoop,-121.6891623988389,36.9090549068933
Watsonville,09/26/2020,hoop,-121.6902665068732,36.91003271909476
Watsonville,09/26/2020,hoop,-121.6895888039992,36.9089689582663
Watsonville,09/26/2020,hoop,-121.6876222774222,36.90972067780199
Watsonville,09/26/2020,hoop,-121.688057624018,36.90890865929006
Watsonville,09/26/2020,hoop,-121.6870453087453,36.90963495586327
Watsonville,09/26/2020,hoop,-121.6874906284236,36.9093032094569
Watsonville,09/26/2020,hoop,-121.6876709539027,36.90883792436016
Watsonville,09/26/2020,hoop,-121.6871113785471,36.90849198524324
Watsonville,09/26/2020,hoop,-121.6867134300684,36.90921597901964
Watsonville,09/26/2020,hoop,-121.688482937961,36.9085965903959
Watsonville,09/26/2020,hoop,-121.6915583704925,36.90953794838428
Watsonville,09/26/2020,hoop,-121.6870963496785,36.91277660559982
Watsonville,09/26/2020,hoop,-121.6866761505939,36.91262534663016
Watsonville,09/26/2020,hoop,-121.6863523073396,36.91338177036342
Watsonville,09/26/2020,hoop,-121.6861170734298,36.91254791445059
Watsonville,09/26/2020,hoop,-121.6873938396423,36.91354112687456
Watsonville,09/26/2020,hoop,-121.68723315623,36.91467024904692
Watsonville,09/26/2020,hoop,-121.687902806089,36.91412609315587
Watsonville,09/26/2020,hoop,-121.6891908505971,36.91348792565076
Watsonville,09/26/2020,hoop,-121.6854447058212,36.91397083043431
Watsonville,09/26/2020,hoop,-121.689873188506,36.91398086480749
Watsonville,09/26/2020,hoop,-121.6812164099484,36.91947895576914
Watsonville,09/26/2020,hoop,-121.6809216113541,36.91989536058122
Watsonville,09/26/2020,hoop,-121.6805586577775,36.92030004197261
Watsonville,09/26/2020,hoop,-121.6802344972315,36.92069636452916
Watsonville,09/26/2020,hoop,-121.6799179318307,36.9211995053529
Watsonville,09/26/2020,hoop,-121.6813310876164,36.91983988390268
Watsonville,09/26/2020,hoop,-121.6808768842969,36.92044902837103
Watsonville,09/26/2020,hoop,-121.6803773195532,36.92106102347316
Watsonville,09/26/2020,hoop,-121.6801114185888,36.92157580072704
Watsonville,09/26/2020,hoop,-121.6796931081507,36.92183791041751
Watsonville,09/26/2020,hoop,-121.6798113685013,36.92043411113985
Watsonville,09/26/2020,hoop,-121.679286325504,36.92052612539332
Watsonville,09/26/2020,hoop,-121.6792630912811,36.92101061491713
Watsonville,09/26/2020,hoop,-121.6788380134932,36.92100693217694
Watsonville,09/26/2020,hoop,-121.6788599273114,36.92143968079173
Watsonville,09/26/2020,hoop,-121.6784194135717,36.92045935380766
Watsonville,09/26/2020,hoop,-121.6780062949349,36.92049383485198
Watsonville,09/26/2020,hoop,-121.6781076820417,36.92085216469218
Watsonville,09/26/2020,hoop,-121.6776044656651,36.9209971190397
Watsonville,09/26/2020,hoop,-121.6776125435944,36.9213167728312
Watsonville,09/26/2020,hoop,-121.6825565732045,36.9201551535986
Watsonville,09/26/2020,hoop,-121.6817816362984,36.92025317317671
Watsonville,09/26/2020,hoop,-121.6822774981441,36.92007842869886
Watsonville,09/26/2020,hoop,-121.682307425011,36.92047061725832
Watsonville,09/26/2020,hoop,-121.682043534618,36.92038666088874
Watsonville,09/26/2020,hoop,-121.6820533857315,36.91997342457555
Watsonville,09/26/2020,hoop,-121.6821396787797,36.92093553370368
Watsonville,09/26/2020,hoop,-121.6816315352616,36.92110533272487
Watsonville,09/26/2020,hoop,-121.6816089121259,36.92080370774565
Watsonville,09/26/2020,hoop,-121.6812543179954,36.9209178955671
Watsonville,09/26/2020,hoop,-121.6831407711295,36.9209632943022
Watsonville,09/26/2020,hoop,-121.6825451122746,36.92171883489073
Watsonville,09/26/2020,hoop,-121.6821920586011,36.92240704676117
Watsonville,09/26/2020,hoop,-121.6817224862261,36.92294589790258
Watsonville,09/26/2020,hoop,-121.6814593605306,36.92329874212083
Watsonville,09/26/2020,hoop,-121.6826780699193,36.92101314808845
Watsonville,09/26/2020,hoop,-121.6821903030273,36.92161276471344
Watsonville,09/26/2020,hoop,-121.6818853787054,36.92224841023413
Watsonville,09/26/2020,hoop,-121.6814523985112,36.92287109173925
Watsonville,09/26/2020,hoop,-121.6810153352315,36.92288365652717
Watsonville,09/26/2020,hoop,-121.6847513778056,36.92119043972033
Watsonville,09/26/2020,hoop,-121.6844227377475,36.92152356805001
Watsonville,09/26/2020,hoop,-121.684120817399,36.92193330332325
Watsonville,09/26/2020,hoop,-121.6836471569532,36.9224167226784
Watsonville,09/26/2020,hoop,-121.6834399074735,36.92273414959681
Watsonville,09/26/2020,hoop,-121.6839483362546,36.92086445338425
Watsonville,09/26/2020,hoop,-121.6836972966923,36.92123035465824
Watsonville,09/26/2020,hoop,-121.6833859137451,36.92157721800942
Watsonville,09/26/2020,hoop,-121.6831458454265,36.92194319114975
Watsonville,09/26/2020,hoop,-121.6828885552561,36.92231765698622
Watsonville,09/27/2021,hoop,-121.737707958131,36.91459457573031
Watsonville,09/27/2021,hoop,-121.7378229515452,36.91398770422261
Watsonville,09/27/2021,hoop,-121.7383473841969,36.91435610123717
Watsonville,09/27/2021,hoop,-121.7385420613933,36.91388480070349
Watsonville,09/27/2021,hoop,-121.738937812292,36.91416167966515
Watsonville,09/27/2021,hoop,-121.7372781646283,36.91371274269657
Watsonville,09/27/2021,hoop,-121.7373011596346,36.91318421236236
Watsonville,09/27/2021,hoop,-121.7379580029511,36.91356986678511
Watsonville,09/27/2021,hoop,-121.7380140139142,36.91308171853198
Watsonville,09/27/2021,hoop,-121.7383919121943,36.91331410091896
Watsonville,09/27/2021,hoop,-121.7365331887567,36.91201159206987
Watsonville,09/27/2021,hoop,-121.7367176901593,36.91159686166425
Watsonville,09/27/2021,hoop,-121.7369887295547,36.91183673334771
Watsonville,09/27/2021,hoop,-121.7374750746493,36.91179791208394
Watsonville,09/27/2021,hoop,-121.7373420397987,36.91135910577376
Watsonville,09/27/2021,hoop,-121.7362302748499,36.91136004738316
Watsonville,09/27/2021,hoop,-121.7366401901125,36.91102419846681
Watsonville,09/27/2021,hoop,-121.7376496087179,36.91096025215762
Watsonville,09/27/2021,hoop,-121.7371312107592,36.91085076688402
Watsonville,09/27/2021,hoop,-121.7369879924262,36.91106519006361
Watsonville,09/27/2021,hoop,-121.7356774417095,36.91032376416773
Watsonville,09/27/2021,hoop,-121.7360895460422,36.91064734054841
Watsonville,09/27/2021,hoop,-121.7362740239077,36.91021967341986
Watsonville,09/27/2021,hoop,-121.7365781268527,36.91049651420284
Watsonville,09/27/2021,hoop,-121.7362673054799,36.91052401773776
Watsonville,09/27/2021,hoop,-121.7363808007932,36.90982881333215
